,N,Bx,By,Bz,Ex,Ey,Ez
3714,1000000,5.62E-14,3.46E-14,1.37E-10,3134.815164,-5798.646374,-194243.755
3715,1000000,2.50E-13,5.10E-13,1.37E-10,5795.951899,6252.068792,-198545.3976
3716,1000000,-7.68E-13,-3.11E-13,1.35E-10,-12767.06222,-7654.879017,-188301.8146
3717,1000000,-1.20E-13,3.55E-13,1.36E-10,5527.762492,1639.030766,-194495.2817
3718,1000000,1.12E-13,-1.27E-13,1.36E-10,-1522.082854,-4470.777065,-190036.9513
3719,1000000,3.43E-13,2.07E-13,1.36E-10,8082.701885,10056.01018,-194694.5227
3720,1000000,-4.85E-13,3.37E-13,1.37E-10,-11454.39541,9229.901161,-200783.5299
3721,1000000,9.37E-14,1.85E-14,1.36E-10,1847.5113,3332.578524,-191556.7709
3722,1000000,-3.25E-13,-3.53E-14,1.36E-10,-5569.260649,-1604.717474,-193021.3148
3723,1000000,-1.84E-13,2.93E-15,1.34E-10,-909.6568045,-2433.741384,-185712.497
3724,1000000,-2.13E-13,-1.57E-13,1.38E-10,-8760.234637,-2959.351121,-198234.188
3725,1000000,-3.03E-13,1.06E-13,1.36E-10,-3901.832774,3950.712365,-195753.6126
3726,1000000,3.90E-14,7.36E-13,1.36E-10,-3049.368288,15255.44594,-192810.6711
3727,1000000,1.04E-13,3.43E-13,1.36E-10,6708.378934,1861.727087,-192838.7423
3728,1000000,-3.62E-13,3.31E-13,1.35E-10,-7951.506427,9917.111208,-189754.4666
3729,1000000,2.63E-14,-4.22E-14,1.36E-10,1844.374195,403.7187424,-191292.6202
3730,1000000,-2.93E-14,2.09E-13,1.36E-10,-6972.767906,6047.168736,-193798.9854
3731,1000000,4.42E-13,-4.11E-13,1.36E-10,7557.596822,-9040.31264,-190959.4743
3732,1000000,7.87E-14,5.93E-13,1.36E-10,4490.965248,11933.73085,-195896.6783
3733,1000000,2.40E-13,-8.12E-13,1.37E-10,2583.874898,-8069.133999,-196240.449
3734,1000000,6.89E-14,-3.16E-13,1.36E-10,6203.694403,-8329.527391,-194742.1384
3735,1000000,1.15E-13,2.23E-13,1.37E-10,3477.983335,3914.424607,-196597.8729
3736,1000000,1.97E-13,-8.79E-14,1.35E-10,4903.584138,-829.4768887,-185999.9304
3737,1000000,-8.15E-14,-1.30E-13,1.36E-10,-11110.40157,108.7562037,-196904.8751
3738,1000000,-4.27E-13,-3.94E-13,1.37E-10,-7626.921377,-2905.383938,-198386.0225
3739,1000000,-1.25E-13,-1.65E-13,1.35E-10,-5392.730836,82.57008691,-190224.1034
3740,1000000,5.99E-14,-1.53E-13,1.36E-10,3378.052278,2036.660675,-190741.0135
3741,1000000,-3.69E-13,-1.84E-13,1.36E-10,-7407.759129,-3254.204716,-193395.8958
3742,1000000,-2.98E-13,2.27E-13,1.39E-10,-10164.53691,-4779.527719,-199434.806
3743,1000000,-4.97E-13,4.22E-15,1.36E-10,-5047.02643,-9777.942955,-191174.9886
3744,1000000,-3.64E-13,-1.14E-13,1.36E-10,-2350.528352,-3906.897426,-189438.9857
3745,1000000,7.97E-13,-4.48E-13,1.38E-10,9432.39754,-10894.59767,-199190.7155
3746,1000000,-8.52E-14,-3.33E-13,1.37E-10,-2637.757243,-5855.041787,-195972.855
3747,1000000,-2.06E-13,-1.60E-13,1.38E-10,-3345.926405,-10551.14067,-198203.8852
3748,1000000,-6.53E-13,1.10E-13,1.37E-10,-6806.209155,-3125.432311,-197855.378
3749,1000000,3.56E-13,-1.58E-13,1.36E-10,2392.662843,8465.985384,-193607.3853
3750,1000000,5.91E-14,3.14E-13,1.38E-10,2830.590039,7768.800893,-200219.4828
3751,1000000,-1.68E-13,-1.23E-13,1.37E-10,-996.5251516,-3229.322638,-196515.2491
3752,1000000,6.63E-14,-1.69E-13,1.36E-10,840.1737333,-825.1551634,-197086.2912
3753,1000000,2.28E-13,-2.37E-13,1.37E-10,7186.668831,-3509.894129,-198238.7634
3754,1000000,1.48E-13,-2.33E-14,1.36E-10,1951.205075,-3369.956226,-194060.1735
3755,1000000,2.92E-13,-3.64E-14,1.36E-10,10633.62116,-4537.075241,-192852.5825
3756,1000000,-2.71E-13,-2.27E-13,1.39E-10,-8029.20723,-4372.538106,-197769.3434
3757,1000000,-9.46E-14,-1.66E-13,1.38E-10,-4641.60638,2045.871704,-200830.7971
3758,1000000,5.43E-14,-6.41E-13,1.38E-10,3002.49919,-9684.082618,-198316.691
3759,1000000,-3.67E-13,-1.19E-13,1.36E-10,-6859.122494,-246.3121948,-192504.8986
3760,1000000,6.40E-13,5.47E-14,1.37E-10,8860.258101,3473.0039,-195500.5605
3761,1000000,-9.50E-15,1.11E-13,1.35E-10,3942.518611,-1974.914571,-190318.526
3762,1000000,6.43E-14,4.25E-13,1.36E-10,989.7415143,3808.218033,-188840.8702
3763,1000000,-4.54E-13,4.17E-13,1.36E-10,-9509.457608,12322.0223,-196686.007
3764,1000000,-6.35E-13,-1.53E-13,1.37E-10,-13446.44216,-7934.463893,-195544.8379
3765,1000000,-2.73E-13,2.84E-13,1.36E-10,-47.16370141,-1475.336788,-188634.0869
3766,1000000,-1.95E-13,2.57E-13,1.37E-10,-2419.601871,-1121.414394,-195883.7491
3767,1000000,-2.46E-13,-3.57E-13,1.37E-10,-4504.527229,982.4863868,-196016.5833
3768,1000000,-8.37E-14,6.49E-14,1.36E-10,-4045.134244,-2791.210212,-191399.9718
3769,1000000,-2.21E-13,2.27E-13,1.35E-10,1525.290482,7701.393978,-190384.8298
3770,1000000,-3.84E-13,-2.62E-14,1.37E-10,-4967.672004,3858.214271,-196301.3631
3771,1000000,-1.29E-14,1.75E-13,1.35E-10,-4246.913026,6972.223634,-191829.5803
3772,1000000,-4.82E-13,-1.58E-14,1.39E-10,-6340.966879,-5301.811629,-198298.5054
3773,1000000,1.68E-13,-1.84E-13,1.35E-10,-1469.618551,-1404.6611,-186459.1339
3774,1000000,6.19E-13,-4.96E-14,1.36E-10,12936.27714,-8502.984945,-191034.2495
3775,1000000,-5.40E-14,2.81E-13,1.36E-10,-4813.462418,7118.744103,-193818.7329
3776,1000000,8.80E-14,-2.55E-13,1.38E-10,917.7947034,-5701.29193,-195789.3562
3777,1000000,3.20E-13,1.88E-13,1.37E-10,5069.810425,3844.09076,-194198.7876
