Parameters:
box_length	1437.49
n_particles	251
n_eqil_steps	10000000
speed_l	1
speed_u	2
density	1.4e-15
charge_density	1.5

radii,masses,position(x),position(y),position(z),velocity(x),velocity(y),velocity(z),initial high e,final high e,final low e,charge
42.8223,4.60497e-10,1350.11,407.401,497.788,-0.241776,-0.606895,2.03257,34565,0,822,33743
45.807,5.63652e-10,1147.94,1045.78,1169.7,6.99182,-1.6062,-1.55052,39552,0,790,38762
57.5577,1.11822e-09,788.387,304.139,292.775,-0.562595,0.881697,0.0655789,62446,0,849,61597
36.9578,2.96029e-10,736.05,831.199,157.371,-1.51955,1.57934,-2.70527,25746,0,876,24870
36.6225,2.88046e-10,462.905,1153.61,1375.06,-1.81444,-0.789377,-1.56675,25281,0,901,24380
45.5224,5.53211e-10,1050.89,1004.02,165.436,-0.54376,0.0296496,3.2661,39062,0,816,38246
78.3468,2.8202e-09,434.536,864.709,1031.32,-0.0588474,0.88303,0.638685,115703,0,1065,114638
97.5639,5.44608e-09,272.228,724.614,1125.96,-1.29728,-0.13174,0.212017,179424,0,1320,178104
68.6994,1.90141e-09,250.034,1153.7,978.474,-0.831141,0.53857,1.00734,88963,0,948,88015
121.867,1.06138e-08,148.897,750.078,129.728,-0.0185585,-0.358663,0.149944,279944,0,1832,278112
110.144,7.83606e-09,848.061,149.547,133.805,-0.145279,-0.40579,0.587093,228677,0,1587,227090
76.4456,2.61983e-09,976.167,798.855,362.162,0.343223,1.55215,0.739281,110155,0,1060,109095
77.4162,2.7209e-09,1179,720.108,841.918,-1.22234,-1.57718,-0.486081,112970,0,1087,111883
82.3167,3.271e-09,1233.24,976.596,448.546,1.04737,-0.522358,0.947991,127725,0,1091,126634
82.2887,3.26766e-09,266.732,664.827,1354.4,0.624282,-0.507896,-1.09656,127638,0,1120,126518
62.6695,1.4434e-09,231.545,984.717,1305.24,0.0683136,-0.313737,-0.810317,74031,0,887,73144
88.4195,4.05378e-09,490.747,809.035,1254.44,0.26155,0.280002,0.5709,147366,0,1206,146160
123.273,1.09855e-08,495.859,145.272,1280.46,-0.410981,0.273466,-0.0333959,286442,0,2003,284439
82.9552,3.34771e-09,1060.28,1052.93,437.935,-1.22326,-0.618104,-0.209722,129715,0,1125,128590
76.6225,2.63806e-09,1280.03,492.814,826.011,-1.08342,0.147952,-0.333782,110666,0,1066,109600
104.12,6.61942e-09,966.973,1235.54,1134.35,0.230047,-0.205054,0.634736,204348,0,1488,202860
68.2497,1.86431e-09,501.198,441.905,636.998,0.17337,-0.797132,2.1895,87802,0,900,86902
95.097,5.04333e-09,275.08,1139.81,188.931,-0.580376,-0.272908,-0.104211,170465,0,1377,169088
103.929,6.58308e-09,187.161,348.705,175.33,0.563586,0.172775,0.965826,203599,0,1484,202115
100.918,6.02738e-09,978.572,502.717,111.331,-0.0775232,0.848435,0.44611,191974,0,1489,190485
97.0444,5.35955e-09,509.957,875.272,178.76,0.958438,0.577874,-0.0716784,177518,0,1448,176070
122.908,1.08882e-08,441.852,1291.54,672.194,-0.165355,0.334617,0.158156,284748,0,1906,282842
